DATE,spx,spxT,vix
19900102,359.69,331.61,17.24
19900201,328.79,324.15,24.87
19900301,332.74,335.69,21.9
19900402,338.7,330.36,22.84
19900501,332.25,358.43,18.43
19900601,363.16,355.43,17.09
19900702,359.54,355.79,16.26
19900801,355.52,316.55,21.64
19900904,323.09,308.26,29.58
19901001,314.94,314.76,28.06
19901101,307.02,315.1,30.25
19901203,324.1,329.9,22.29
19910102,326.45,330.21,26.62
19910201,343.05,367.26,21.04
19910301,370.47,367.48,20.86
19910401,371.3,380.95,17.4
19910501,380.29,376.19,17.52
19910603,388.06,370.94,16.17
19910701,377.92,379.42,17.63
19910801,387.12,391.33,15.26
19910903,392.15,387.71,17.18
19911001,389.2,387.83,15.81
19911101,391.32,376.14,16.35
19911202,381.4,396.82,19.7
19920102,417.26,414.96,18.75
19920203,409.53,410.45,17.96
19920302,412.45,409.91,17.26
19920401,404.23,411.6,17.06
19920501,412.53,414.02,16.92
19920601,417.3,403.4,14.57
19920701,412.88,412.08,13.88
19920803,425.09,410.72,13.58
19920901,416.07,417.44,12.73
19921001,416.29,414.9,17.79
19921102,422.75,425.12,17.33
19921201,430.78,440.31,12.56
19930104,435.38,440.01,13.35
19930201,442.52,434.8,12.25
19930301,442.01,448.88,12.49
19930401,450.3,437.03,14.5
19930503,442.46,448,12.14
19930601,453.83,445.93,13.48
19930701,449.02,447.1,11.33
19930802,450.15,455.23,11.49
19930901,463.15,457.74,11.87
19931001,461.29,463.27,12.85
19931101,469.1,459.13,11.74
19931201,461.89,467.32,13.51
19940103,465.44,471.97,11.91
19940201,479.62,470.69,10.61
19940301,464.44,468.8,16.08
19940404,438.92,452.71,18.13
19940502,453.02,453.2,13.81
19940601,457.63,453.09,12.73
19940701,446.2,454.25,14.92
19940801,461.01,462.31,11.27
19940901,473.17,459.67,11.4
19941003,461.74,460.83,16.66
19941101,468.42,450.08,15.34
19941201,448.92,459.68,16.55
19950103,459.11,465.86,13.53
19950201,470.4,486.91,11.13
19950301,485.65,495.67,12.02
19950403,501.85,512.1,12.62
19950501,514.26,523.65,11.88
19950601,533.49,551.07,12.98
19950703,547.09,561.1,12.1
19950801,559.64,559.52,13.66
19950901,563.84,581.81,11.65
19951002,581.72,585.06,14.5
19951101,584.22,598.4,13.19
19951201,606.98,611.95,10.66
19960102,620.73,612.79,12.1
19960201,638.46,659.08,13.23
19960301,644.37,650.62,16.67
19960401,653.73,651.58,16.45
19960501,654.58,678.42,18.62
19960603,667.68,668.85,16.18
19960701,675.88,626.87,14.19
19960801,650.02,670.68,16.19
19960903,654.72,685.61,18.64
19961001,689.08,706.57,16.78
19961101,703.77,748.73,18.04
19961202,756.56,746.92,18.68
19970102,737.01,777.56,19.13
19970203,786.73,812.1,19.43
19970303,795.31,790.89,20.62
19970401,759.64,774.61,21.3
19970501,798.53,835.66,17.51
19970602,846.36,878.62,20.01
19970701,891.03,936.56,19.7
19970801,947.14,923.54,21.94
19970902,927.58,951.93,24.95
19971001,955.41,968.49,22.27
19971103,938.99,946.67,32.24
19971201,974.77,953.7,25.66
19980102,975.04,956.95,24.36
19980202,1001.27,1030.56,20.67
19980302,1047.7,1095.55,19.04
19980401,1108.15,1119.58,21.98
19980501,1121,1110.47,20.32
19980601,1090.98,1103.21,22
19980701,1148.56,1139.75,17.67
19980803,1112.44,1088.14,31.06
19980901,994.24,1066.09,36.76
19981001,986.39,1078.48,40.47
19981102,1111.6,1188.21,27.76
19981201,1175.28,1203.57,25.43
19990104,1228.1,1252.31,24.46
19990201,1273,1271.18,28.16
19990301,1236.16,1297.01,29.22
19990401,1293.72,1356.85,22.19
19990503,1354.63,1306.65,25.62
19990601,1294.26,1335.88,26.21
19990701,1380.96,1356.94,18.66
19990802,1328.05,1360.22,26.27
19990901,1331.07,1280.41,24.53
19991001,1282.81,1301.65,24.46
19991101,1354.12,1420.94,23.1
19991201,1397.72,1436.13,21.77
20000103,1455.22,1410.03,27.01
20000201,1409.28,1360.69,23.12
20000301,1379.19,1500.64,21.06
20000403,1505.97,1477.44,27.12
20000501,1468.25,1400.72,28.5
20000601,1448.81,1452.18,21.48
20000703,1469.54,1474.47,21.16
20000801,1438.1,1498.13,20
20000901,1520.77,1439.03,19.82
20001002,1436.23,1395.78,21.85
20001101,1421.22,1322.36,23.92
20001201,1315.23,1305.97,27.78
20010102,1283.27,1364.3,26.6
20010201,1373.47,1245.86,21.95
20010301,1241.23,1117.58,27.43
20010402,1145.87,1209.47,34.72
20010501,1266.44,1309.38,24.23
20010601,1260.67,1225.35,21.38
20010702,1236.71,1171.65,18.92
20010801,1215.93,1165.31,20.09
20010904,1132.94,1038.55,26.35
20011001,1038.55,1089.9,31.18
20011101,1084.1,1150.34,30.71
20011203,1129.9,1144.65,24.08
20020102,1154.67,1132.15,21.34
20020201,1122.2,1109.43,24.87
20020301,1131.78,1148.7,20.5
20020401,1146.54,1107.83,19.16
20020501,1086.46,1086.02,20.07
20020603,1040.68,992.72,23.89
20020701,968.65,797.7,28.96
20020801,884.66,962.7,41.29
20020903,878.02,819.29,37.44
20021001,847.91,890.16,36.83
20021101,900.96,930.55,30.82
20021202,934.53,897.38,28.33
20030102,909.03,861.4,24.68
20030203,860.32,838.57,32.76
20030303,834.81,864.23,31.83
20030401,858.48,919.02,28.02
20030501,916.3,931.87,20.63
20030602,967,981.64,20.84
20030701,982.32,988.61,19.03
20030801,980.15,993.06,21.27
