Date,ABC,DEF,GHI,JKL,MNO,PQR,STU,VWX,XYZ,ZAB,mkt,date2,rf,rm,hml,smb
1/4/1993,10.125,25.375,50.75,15.375,17.25,23.375,9.375,42.875,32.5,18.625,100,0,0,0,0,0
1/5/1993,10.62715081,25.85698324,50.64960435,15.02357143,16.30479452,23.375,9.375,43.4875,32.21365639,18.87809752,99.85111095,1/5/1993,1.1,-0.149,0.23,0.37
1/6/1993,11.01657389,26.22555866,51.15158259,14.64285714,16.89460274,23.55761719,9.375,43.575,31.92731278,18.37190248,99.99200032,1/6/1993,1.1,0.141,0.49,0.41
1/7/1993,11.01657389,25.74357542,51.25197824,15.02357143,17.48630137,23.74023438,9.760135135,43.575,32.07048458,18.23790967,99.25578311,1/7/1993,1.1,-0.739,0.17,0.66
1/8/1993,10.89359818,25.23324022,50.5492087,15.99,16.66019178,23.74023438,9.628378378,43.8375,31.64096916,17.35951239,98.87042812,1/8/1993,1.1,-0.389,-0.19,0.02
1/11/1993,10.89359818,24.75125698,50.5492087,15.49214286,17.13279452,23.92285156,10.26689189,44.0125,31.78414097,16.73421263,99.27762179,1/11/1993,1.1,0.411,0.29,0
1/12/1993,11.14979757,25.23324022,50.85039565,15.25785714,17.01369863,23.92285156,10.26689189,43.8375,31.92731278,16.85331735,99.28854292,1/12/1993,1.1,0.011,0.19,-0.29
1/13/1993,11.14979757,25.48840782,51.70375865,15.25785714,17.13279452,24.28808594,10.13513514,43.225,32.5,17.35951239,99.77724846,1/13/1993,1.1,0.491,-0.09,0.01
1/14/1993,11.90814777,25.23324022,52.30613254,15.99,16.89460274,24.65332031,10.38851351,43.575,32.92951542,17.35951239,100.5092925,1/14/1993,1.1,0.731,-0.19,0.19
1/15/1993,12.43079453,25.1198324,51.70375865,15.25785714,17.01369863,24.65332031,10.26689189,44.8,33.35903084,17.10641487,100.8828745,1/15/1993,1.1,0.371,0.31,0.15
1/18/1993,12.43079453,26.22555866,51.15158259,15.25785714,16.77739726,24.47070313,10.26689189,45.4125,33.64537445,17.10641487,100.9040622,1/18/1993,1.1,0.021,0.91,-0.05
1/19/1993,12.16434717,26.84930168,51.35237389,15.60928571,16.66019178,24.28808594,10.26689189,46.2,33.78854626,17.10641487,100.6732562,1/19/1993,1.1,-0.229,1.32,0.26
1/20/1993,12.80996964,27.10446927,50.14762611,15.49214286,16.66019178,24.28808594,10.89527027,45.4125,33.78854626,17.10641487,100.4429783,1/20/1993,1.1,-0.229,0.12,0.61
1/21/1993,13.32236842,26.73589385,51.00098912,15.99,16.30479452,24.28808594,10.89527027,46.025,33.64537445,17.10641487,100.8465633,1/21/1993,1.1,0.401,-0.06,-0.19
1/22/1993,13.19939271,26.48072626,50.64960435,16.22428571,16.30479452,24.28808594,10.77364865,46.8125,33.50220264,17.24040767,101.1202281,1/22/1993,1.1,0.271,0.31,0.21
1/25/1993,13.19939271,26.22555866,50.64960435,16.45857143,18.078,24.28808594,11.28040541,47.1625,33.50220264,17.61260991,101.8824997,1/25/1993,1.1,0.751,0.11,0.05
1/26/1993,13.19939271,26.48072626,49.94683482,16.95642857,18.31241096,23.92285156,11.14864865,47.075,33.21585903,17.86570743,101.954862,1/26/1993,1.1,0.071,0.23,0.39
1/27/1993,12.80996964,26.73589385,49.94683482,17.425,17.01369863,23.92285156,11.28040541,46.725,33.21585903,17.4935052,101.4169448,1/27/1993,1.1,-0.529,0.67,-0.57
1/28/1993,12.43079453,26.73589385,49.54525223,17.07357143,17.25,23.92285156,10.77364865,45.85,33.21585903,17.74660272,101.417959,1/28/1993,1.1,0.001,0.17,-0.27
1/29/1993,12.80996964,26.73589385,47.88872404,17.19071429,16.89460274,23.92285156,11.02702703,45.325,33.21585903,17.74660272,101.5305954,1/29/1993,1.1,0.111,0.06,0.27
2/1/1993,12.80996964,26.59413408,48.84248269,16.81,16.77739726,23.92285156,11.28040541,46.4625,33.21585903,17.99970024,102.3686165,2/1/1993,1.2,0.822,0.23,-0.54
2/2/1993,12.55377024,26.9627095,49.34446093,17.07357143,17.25,24.47070313,11.28040541,46.2875,33.21585903,17.99970024,102.534588,2/2/1993,1.2,0.162,0.24,0.14
2/3/1993,12.68699393,28.06843575,49.34446093,17.07357143,17.25,25.01855469,11.14864865,46.9,33.64537445,18.11880496,103.4946775,2/3/1993,1.2,0.932,0.26,-0.12
2/4/1993,12.43079453,23.64553073,49.19386746,16.45857143,16.77739726,25.38378906,11.53378378,49.2625,34.9339207,18.625,104.077955,2/4/1993,1.2,0.562,0.68,-0.44
2/5/1993,12.55377024,23.39036313,48.64169139,16.22428571,15.35958904,25.20117188,11.53378378,48.7375,34.9339207,18.74410472,103.7890201,2/5/1993,1.2,-0.278,0.68,-0.45
2/8/1993,12.43079453,23.39036313,48.39070228,16.45857143,14.65068493,25.20117188,10.89527027,49.175,34.9339207,18.99720224,103.60444,2/8/1993,1.2,-0.178,0.39,0.03
2/9/1993,12.43079453,22.28463687,47.88872404,16.34142857,14.17808219,25.20117188,10.64189189,48.0375,36.07929515,19.622502,102.9558428,2/9/1993,1.2,-0.628,0.19,-0.04
2/10/1993,12.43079453,22.90837989,48.2401088,15.99,15.12328767,25.56640625,10.64189189,48.9125,36.07929515,19.13119504,103.1949777,2/10/1993,1.2,0.232,0.02,-0.24
2/11/1993,12.29757085,22.39804469,48.49109792,15.49214286,14.8869863,25.56640625,10.89527027,49.7875,35.93612335,19.7564948,103.4967474,2/11/1993,1.2,0.292,0.3,0.17
2/12/1993,12.29757085,22.28463687,49.19386746,15.49214286,14.29717808,25.56640625,10.89527027,48.3875,35.79295154,19.622502,102.9105522,2/12/1993,1.2,-0.568,0.35,0.16
2/16/1993,11.52897267,20.8103352,48.99307616,15.49214286,13.70547945,25.38378906,10.26689189,46.725,35.50660793,19.38429257,100.2813952,2/16/1993,1.2,-2.588,0.89,-0.63
2/17/1993,11.66219636,20.44175978,48.99307616,15.72642857,14.65068493,25.56640625,10.52027027,45.9375,35.50660793,20.00959233,99.88306842,2/17/1993,1.2,-0.398,0.61,-0.76
2/18/1993,11.90814777,21.06550279,49.89663699,15.02357143,14.65068493,25.56640625,10.26689189,45.5875,35.36343612,19.7564948,99.74532485,2/18/1993,1.2,-0.138,0,0.71
2/19/1993,11.90814777,21.17891061,50.29821958,15.375,14.17808219,25.93164063,10.64189189,45.85,35.64977974,20.38179456,100.1771567,2/19/1993,1.2,0.432,1.49,-0.12
2/22/1993,11.66219636,20.18659218,51.10138477,15.49214286,13.46917808,25.93164063,10.77364865,45.9375,34.36123348,20.88798961,100.0590174,2/22/1993,1.2,-0.118,2.11,-1.22
2/23/1993,11.78517206,20.32835196,51.45276954,15.49214286,13.23287671,25.74902344,11.02702703,44.1,34.07488987,21.51328937,100.0310048,2/23/1993,1.2,-0.028,-0.48,-0.02
2/24/1993,12.29757085,20.8103352,51.45276954,15.99,13.70547945,25.93164063,11.02702703,45.0625,34.9339207,22.13858913,101.42303,2/24/1993,1.2,1.382,-1.11,-0.63
2/25/1993,12.68699393,20.44175978,51.10138477,16.22428571,13.94178082,25.74902344,11.14864865,45.325,34.7907489,21.76638689,101.8315712,2/25/1993,1.2,0.402,0,0.16
2/26/1993,12.80996964,21.29231844,51.8041543,16.45857143,14.53347945,26.47949219,10.52027027,45.0625,35.36343612,22.01948441,102.1599974,2/26/1993,1.2,0.322,-0.4,0.51
3/1/1993,12.68699393,21.06550279,51.35237389,16.95642857,13.94178082,26.11425781,9.881756757,45.5875,36.07929515,22.77877698,102.0282959,3/1/1993,1.1,-0.129,0.05,0.22
3/2/1993,12.55377024,21.54748603,52.20573689,16.34142857,13.82457534,26.296875,10.13513514,47.075,36.36563877,21.9003797,103.209426,3/2/1993,1.1,1.151,-0.42,-0.58
3/3/1993,12.68699393,21.43407821,52.30613254,16.22428571,13.46917808,26.47949219,10.01351351,47.075,36.36563877,22.01948441,103.7174304,3/3/1993,1.1,0.491,-0.01,0.19
3/4/1993,13.44534413,21.54748603,52.30613254,16.45857143,13.46917808,26.84472656,10.13513514,47.075,37.36784141,22.01948441,103.3457524,3/4/1993,1.1,-0.359,0.32,0.39
3/5/1993,13.70154352,21.80265363,51.95474777,16.95642857,13.46917808,26.66210938,10.13513514,48.3875,37.36784141,21.51328937,103.2125223,3/5/1993,1.1,-0.129,0,0.44
3/8/1993,13.83476721,22.02946927,51.95474777,16.69285714,13.46917808,26.66210938,10.64189189,49,37.79735683,21.51328937,104.8048643,3/8/1993,1.1,1.531,-0.2,-0.98
3/9/1993,13.96799089,22.02946927,51.45276954,18.39142857,13.70547945,25.93164063,10.38851351,48.9125,38.37004405,21.64728217,104.9107707,3/9/1993,1.1,0.101,0.44,0.16
3/10/1993,13.96799089,21.15055866,51.35237389,19.85571429,13.23287671,26.11425781,10.52027027,49.175,38.51321586,21.26019185,105.4166071,3/10/1993,1.1,0.481,-0.28,0.01
3/11/1993,13.83476721,20.89539106,50.64960435,20.32428571,13.23287671,26.11425781,10.26689189,48.125,38.65638767,21.14108713,105.0598498,3/11/1993,1.1,-0.339,-0.09,0.72
3/12/1993,13.96799089,21.40572626,49.89663699,20.32428571,13.23287671,26.296875,10.13513514,47.425,38.51321586,21.00709432,104.3176098,3/12/1993,1.1,-0.709,-0.16,0.46
3/15/1993,13.96799089,22.1428771,50.29821958,20.17785714,13.94178082,26.296875,10.13513514,48.0375,39.08590308,21.64728217,104.6530074,3/15/1993,1.1,0.321,-0.13,0.02
3/16/1993,13.96799089,21.8877095,50.75,21.87642857,14.76789041,26.296875,10.52027027,47.6875,38.94273128,22.39168665,104.6122007,3/16/1993,1.1,-0.039,0.37,-0.12
3/17/1993,13.83476721,21.40572626,50.04723046,20.67571429,14.29717808,25.93164063,10.13513514,47.95,39.94493392,22.77877698,103.9042899,3/17/1993,1.1,-0.679,0.61,0.14
3/18/1993,13.96799089,22.02946927,50.14762611,19.21142857,14.8869863,26.296875,10.26689189,50.75,39.65859031,23.15097922,104.5724556,3/18/1993,1.1,0.641,0.4,-0.72
3/19/1993,13.83476721,21.40572626,50.14762611,18.97714286,14.41438356,26.296875,10.38851351,50.8375,39.80176211,22.52567946,104.1143887,3/19/1993,1.1,-0.439,0.7,-0.07
3/22/1993,13.70154352,21.15055866,50.39861523,17.015,13.94178082,26.47949219,10.13513514,51.625,40.37444934,23.52318145,103.6894305,3/22/1993,1.1,-0.409,0.72,-0.46
3/23/1993,13.57856781,21.03715084,50.90059347,16.28285714,13.70547945,26.47949219,10.01351351,52.0625,39.94493392,23.52318145,103.6282718,3/23/1993,1.1,-0.059,0.11,-0.15
3/24/1993,13.57856781,21.40572626,51.25197824,16.78071429,13.94178082,26.296875,9.760135135,51.275,39.94493392,23.52318145,103.4739806,3/24/1993,1.1,-0.149,-0.07,-0.01
3/25/1993,13.57856781,21.40572626,51.8041543,17.98142857,13.70547945,26.296875,9.760135135,51.45,39.94493392,23.65717426,104.1497936,3/25/1993,1.1,0.651,-0.22,-0.05
3/26/1993,13.57856781,21.77430168,52.65751731,18.71357143,13.23287671,26.296875,9.628378378,51.45,39.22907489,24.41646683,103.7661891,3/26/1993,1.1,-0.369,0.21,0.59
3/29/1993,13.70154352,21.8877095,53.00890208,19.21142857,12.99657534,26.47949219,9.881756757,52.0625,39.65859031,24.41646683,104.2039656,3/29/1993,1.1,0.421,-0.17,-0.39
3/30/1993,13.44534413,21.77430168,53.41048467,19.94357143,13.23287671,26.66210938,9.760135135,51.8875,40.08810573,24.41646683,104.60174,3/30/1993,1.1,0.381,-0.64,-0.12
3/31/1993,13.70154352,22.25628492,54.3140455,19.68,13.46917808,26.84472656,9.881756757,51.1,40.51762115,24.28247402,104.7702844,3/31/1993,1.1,0.161,-0.29,0.57
4/1/1993,13.70154352,21.8877095,54.1132542,19.68,14.17808219,26.84472656,9.760135135,51.1,41.66299559,23.40407674,104.4261566,4/1/1993,1.1,-0.329,0.32,0.13
4/2/1993,13.19939271,21.66089385,53.61127596,18.97714286,13.94178082,26.66210938,9.506756757,50.4,40.94713656,23.49340528,102.4515687,4/2/1993,1.1,-1.909,0.82,0.38
4/5/1993,13.19939271,21.51913408,54.1132542,18.245,13.58827397,26.47949219,9.760135135,51.1,41.09030837,23.7465028,102.565353,4/5/1993,1.1,0.111,0.4,-0.61
4/6/1993,13.19939271,21.66089385,54.76582591,17.74714286,13.46917808,26.66210938,9.760135135,53.1125,41.66299559,24.13359313,102.1467174,4/6/1993,1.1,-0.409,1.09,-0.45
4/7/1993,13.32236842,22.39804469,54.06305638,17.74714286,13.46917808,26.47949219,9.628378378,53.725,41.94933921,23.99960032,102.4648882,4/7/1993,1.1,0.311,0.34,-0.25
4/8/1993,13.44534413,22.88002793,53.71167161,18.97714286,13.70547945,27.7578125,9.628378378,53.725,41.23348018,23.61250999,102.2509602,4/8/1993,1.1,-0.209,0.78,0.03
4/12/1993,13.70154352,23.02178771,54.76582591,19.44571429,13.94178082,27.39257813,9.881756757,54.425,41.94933921,24.25269784,103.5070976,4/12/1993,1.1,1.221,-0.12,-0.99
4/13/1993,13.44534413,22.51145251,54.56503462,20.41214286,13.70547945,27.39257813,10.13513514,53.55,41.94933921,24.89288569,103.8606593,4/13/1993,1.1,0.341,0.53,0.15
4/14/1993,13.57856781,23.50377095,55.11721068,19.44571429,13.35008219,27.39257813,10.26689189,53.8125,41.23348018,24.75889289,103.830544,4/14/1993,1.1,-0.029,0.46,0.05
4/15/1993,13.83476721,23.39036313,55.51879327,18.97714286,13.23287671,27.7578125,10.38851351,53.725,41.37665198,24.13359313,103.6655846,4/15/1993,1.1,-0.159,0.37,-0.16
4/16/1993,13.83476721,23.24860335,56.52274975,19.44571429,12.87936986,28.30566406,10.64189189,54.1625,41.09030837,25.39908074,103.697726,4/16/1993,1.1,0.031,0.91,-0.31
4/19/1993,13.06616903,23.24860335,56.57294758,18.97714286,13.46917808,28.12304688,10.52027027,53.2875,41.23348018,23.99960032,103.357121,4/19/1993,1.1,-0.329,-0.41,0.09
4/20/1993,12.80996964,23.02178771,56.32195846,18.97714286,13.11567123,28.67089844,10.01351351,52.325,40.51762115,23.49340528,102.8529385,4/20/1993,1.1,-0.489,-0.7,0.2
4/21/1993,12.29757085,24.12751397,55.81998022,19.44571429,13.58827397,29.03613281,10.38851351,51.7125,40.94713656,23.7465028,102.6895322,4/21/1993,1.1,-0.159,-0.8,0.6
4/22/1993,11.90814777,24.24092179,54.46463897,18.47928571,13.46917808,29.21875,10.52027027,51.1,41.09030837,22.85321743,101.9946322,4/22/1993,1.1,-0.679,-0.27,0.91
4/23/1993,11.78517206,24.12751397,54.3140455,18.97714286,12.64117808,29.03613281,10.01351351,51.975,41.37665198,22.98721023,101.4666513,4/23/1993,1.1,-0.519,-0.2,0.21
4/26/1993,11.90814777,23.87234637,55.11721068,18.97714286,11.10616438,29.03613281,9.506756757,50.6625,41.09030837,22.34702238,100.4982371,4/26/1993,1.1,-0.959,-0.16,-0.27
4/27/1993,12.16434717,23.75893855,54.66543027,17.98142857,10.86986301,29.03613281,9.253378378,52.15,40.37444934,22.22791767,101.3368571,4/27/1993,1.1,0.831,-0.67,-0.93
4/28/1993,12.43079453,23.61717877,53.36028684,18.97714286,11.81506849,29.03613281,9,53.9875,40.80396476,22.73411271,101.5001408,4/28/1993,1.1,0.161,0.21,0.2
4/29/1993,12.29757085,23.87234637,53.76186944,17.51285714,12.5239726,29.03613281,9.375,54.25,40.51762115,22.85321743,101.7247042,4/29/1993,1.1,0.221,-0.06,0.11
4/30/1993,12.04137146,23.39036313,54.21364985,19.44571429,12.5239726,28.67089844,9.760135135,54.25,40.51762115,23.35941247,102.1232264,4/30/1993,1.1,0.391,-0.06,0.35
5/3/1993,12.16434717,23.75893855,54.41444115,18.47928571,12.76027397,28.67089844,9.375,55.2125,40.51762115,23.61250999,102.666943,5/3/1993,1.1,0.531,-0.56,-0.23
5/4/1993,12.04137146,24.12751397,54.41444115,18.245,12.17046575,28.85351563,9.506756757,55.5625,40.66079295,23.61250999,103.2445232,5/4/1993,1.1,0.561,-0.41,0.55
5/5/1993,12.29757085,24.60949721,53.76186944,18.97714286,12.76027397,29.03613281,9.881756757,55.3,40.66079295,23.7465028,103.5661134,5/5/1993,1.1,0.311,-0.66,0.61
5/11/1993,12.69125888,24.3569482,54.3751227,18.51986231,14.41438356,29.77122478,9.763175676,54.94720893,41.81429062,24.39729924,103.8887054,5/11/1993,1.1,0.311,0.36,-0.2
5/12/1993,12.69125888,24.1324602,54.32401826,18.51986231,14.41438356,29.95499777,9.881756757,55.5645933,41.81429062,25.16917409,103.9209159,5/12/1993,1.1,0.031,0.43,0.05
5/13/1993,12.4322536,23.7676672,53.96628719,19.46300344,13.82457534,30.32254376,9.763175676,54.41802233,41.52591621,25.81997054,102.8262002,5/13/1993,1.1,-1.059,0.13,0.76
5/14/1993,12.29757085,24.3569482,54.01739163,18.03400172,13.82457534,30.50631675,9.881756757,53.80063796,41.67010341,25.56267892,102.806665,5/14/1993,1.1,-0.019,-1.14,0.29
5/17/1993,12.56693634,24.2447042,53.65966056,18.97714286,13.70547945,30.87386274,10.01021959,54.7708134,41.67010341,25.56267892,102.9208438,5/17/1993,1.1,0.111,-0.56,-0.18
5/18/1993,12.4322536,24.86204621,53.50634724,18.51986231,14.41438356,30.87386274,10.75135135,53.18325359,41.381729,25.68375733,103.0042435,5/18/1993,1.1,0.081,-0.44,0.2
5/19/1993,12.56693634,24.86204621,54.22180938,18.97714286,15.35958904,30.87386274,10.75135135,52.03668262,40.66079295,25.81997054,104.4157145,5/19/1993,1.1,1.361,-0.76,-0.96
5/20/1993,12.29757085,24.97429021,54.01739163,18.51986231,15.35958904,31.60895471,10.62288851,51.68389155,41.09335458,25.81997054,105.1081885,5/20/1993,1.1,0.661,-0.33,-0.12
5/21/1993,11.7899205,24.3569482,53.65966056,18.51986231,14.65068493,32.16027368,10.25726351,50.27272727,40.08404412,25.81997054,104.3238691,5/21/1993,1.1,-0.749,0.13,0.85
5/24/1993,11.91424303,24.2447042,53.40413837,18.74850258,14.8869863,31.24140872,10.25726351,51.50749601,41.09335458,26.19834056,104.6278937,5/24/1993,1.1,0.291,0.14,-0.36
5/25/1993,11.91424303,23.8799112,53.40413837,18.97714286,15.12328767,30.87386274,10.62288851,51.41929825,40.66079295,26.19834056,104.9328043,5/25/1993,1.1,0.291,0.13,-0.07
5/26/1993,11.91424303,24.1324602,54.32401826,18.51986231,15.35958904,31.05763573,10.86993243,52.56586922,41.09335458,27.24264183,105.9566646,5/26/1993,1.1,0.971,0.11,-0.4
5/27/1993,11.91424303,23.7676672,54.68174933,18.03400172,15.47679452,31.42518171,11.24543919,52.30127592,40.51660574,27.10642862,105.8094871,5/27/1993,1.1,-0.139,0.44,0.39
5/28/1993,11.7899205,23.6273622,54.83506265,18.29122203,15.35958904,31.05763573,10.75135135,51.94848485,40.51660574,26.33455377,105.4092282,5/28/1993,1.1,-0.379,-0.01,0.14
6/1/1993,12.17324831,24.1324602,55.19279372,18.97714286,15.59589041,31.05763573,10.99839527,52.91866029,40.66079295,27.10642862,106.1507428,6/1/1993,1.1,0.701,0.16,-0.53
6/2/1993,12.4322536,24.2447042,55.0394804,18.03400172,14.8869863,31.24140872,11.11697635,52.91866029,40.94916737,27.10642862,106.2155145,6/2/1993,1.1,0.061,0.06,0.32
6/3/1993,12.56693634,23.9921552,55.19279372,18.97714286,14.65068493,31.24140872,10.86993243,55.3,40.37241853,26.98535022,106.0255588,6/3/1993,1.1,-0.179,0.43,0.28
6/4/1993,12.29757085,23.6273622,55.0394804,18.03400172,14.41438356,31.05763573,10.62288851,55.0354067,39.93985691,27.24264183,105.4661645,6/4/1993,1.1,-0.529,0.26,0.37
6/7/1993,12.03856557,23.5151182,54.83506265,19.23436317,14.65068493,31.05763573,10.37584459,55.38819777,40.08404412,26.98535022,104.7943843,6/7/1993,1.1,-0.639,0.26,0.11
6/8/1993,12.17324831,23.2625692,54.47733158,18.51986231,14.41438356,30.87386274,10.37584459,54.5062201,39.65148249,26.84913701,104.0332111,6/8/1993,1.1,-0.729,0.13,-0.16
6/9/1993,12.03856557,22.89777619,55.75494254,18.97714286,14.8869863,30.87386274,9.881756757,54.41802233,39.7956697,26.84913701,104.3155235,6/9/1993,1.1,0.271,0.08,-0.12
6/10/1993,11.7899205,23.2625692,55.19279372,18.51986231,14.8869863,33.07913865,9.881756757,54.5062201,40.22823132,26.45563218,104.2123022,6/10/1993,1.1,-0.099,-0.14,-0.23
6/11/1993,11.91424303,24.1324602,55.75494254,18.97714286,15.24238356,32.34404668,10.01021959,53.62424242,40.08404412,25.3053873,104.5682728,6/11/1993,1.1,0.341,-0.34,-0.17
