"date","BCPBAB","BGVDEL","BGVFED","BGVFID","BGVLAB","BGVVAL","BHYAIM","BHYCOL","BINLOO","BMGLEX","BMMVAN","MBLAIM","MBLALL","MBLAMB","MBLCOM","MBLD.C","MBLEAV","MBLFID","MTRCAL","MTRPIL","MTRPUT","SAGAIM","SAGPUT","SAGVAL","SEIAMN","SEIFID","SEIOPP","SEISCO","SEIUNI","SGRMAT","SGRPHX","SGRSEL","SGRSEQ","SGRVAN","SINFID","SINSCD","SINTMP","SINTRP","SINUNI","SMKDFA","SMKVAN","SSS20C","SSSACN","SSSTRP","SSSVAN","S.P.500","CRSP.VW","CRSP.EW","CRSP.SC","TBILL","CORP.BD","GOVT.BD","MTG.BD","HIYLD.BD","FFMKT","FFSMB","FFHML"
199201,-1.196,-0.734,-0.738,-1.712,-2.217,-2.095,5.17,4.86,-3.6,-2,0.38,0.452,-1.531,-0.913,-0.361,-0.025,-2.344,0,-1.369,0.93,3.836,2.082,0.099,4.022,-2.964,0.988,-0.644,0.77,0.881,0.638,-1.204,0.84,-1.988,-2.303,-0.144,1.435,1.224,1.468,0.593,11.28,-1.882,1.153,5.364,3.253,6.537,-1.85,-1.177,8.286,11.362,0.306,-0.917,-2.455,-1.019,2.887,-0.17,8.51,4.59
199202,0.65,0.325,0.254,0.203,0.706,0.713,2.084,2.378,-0.82,1.132,0.33,-0.075,0.855,1.432,0.816,2.32,0.675,1.457,0.382,1.091,2.847,1.586,0.893,1.172,0.135,3.049,0.756,0.318,2.764,2.219,1.316,1.333,-0.035,-1.347,0.144,-0.805,1.641,0.207,3.976,4.521,1.244,-1.083,3.645,0.618,1.54,1.29,1.198,3.161,3.815,0.283,0.905,0.886,0.942,2.932,1.33,0.83,6.33
199203,-0.594,-0.256,-0.397,-0.655,-0.616,-0.464,1.525,2.668,-0.55,-1.163,0.34,-1.69,-1.548,-1.011,-0.413,-1.619,-1.475,-0.637,-1.536,-0.747,0.118,-3.569,-4.621,-8.222,-0.786,-1.348,-1.615,-0.965,-1.438,-1.86,-1.492,-4.112,0.038,-1.365,-3.244,-3.916,-1.699,-4.021,-1.558,-2.49,-1.926,-6.974,-0.707,-5.709,-5.576,-1.947,-1.89,-1.969,-1.53,0.338,-0.434,-0.754,-0.442,1.479,-2.37,-1.05,3.38
199204,0.665,0.73,1.073,0.622,0.362,0.563,0.666,0.873,0.92,0.877,0.32,-2.229,1.894,1.702,2.283,2.454,1.088,1.22,-0.106,3.846,1.372,-5.243,-2.062,-7.634,1.73,3.37,1.766,2.92,1.926,0.474,0.293,-1.029,0.364,0.346,4.396,0.32,3.717,3.008,1.295,-4.032,2.914,-7.373,-3.027,-5.143,-4.522,2.864,2.352,-0.726,-3.374,0.33,0.658,0.393,0.915,0.737,1.38,-6.08,4.36
199205,1.918,1.346,1.278,2.058,2.151,1.68,0.882,1.667,3.47,1.966,0.32,2.123,1.162,1.598,0.536,1.247,1.82,1.847,1.135,-0.081,1.825,0.732,0.421,-0.751,1.566,0.978,1.735,0.946,0.85,0.314,-0.244,-1.386,0.898,0.621,4.497,5.252,5.625,5.214,5.114,-0.14,0.485,2.475,0.428,0.686,1.009,0.485,0.541,0.707,0.575,0.276,2.03,2.134,1.855,1.865,0.65,0.55,0.99
199206,1.9,1.23,1.44,1.707,1.085,1.186,0.879,1.024,3.804,1.321,0.31,-3.972,-1.218,0.167,-0.082,-0.498,0.821,-0.314,-0.169,-3.465,-0.983,-5.008,-1.992,-6.125,-3.249,-1.152,-1.164,0.362,-1.335,-1.254,-1.214,-2.634,-0.526,-2.056,-0.956,-1.106,-1.815,-2.973,-3.788,-4.909,-1.492,-6.266,-2.438,-5.862,-4.151,-1.503,-1.591,-2.765,-3.774,0.32,1.641,1.997,1.22,1.236,-1.92,-3.03,3.18
199207,2.481,1.224,1.918,3.075,2.445,2.215,2.06,1.651,2.54,1.333,0.3,5,3.203,3.414,3.145,2.894,2.578,2.402,3.156,4.591,2.901,6.037,3.422,1.54,3.576,2.491,3.169,3.718,2.148,3.016,2.642,4.882,4.614,3.849,-3.241,-2.775,-2.611,-3.779,-1.831,3.54,4.044,5.71,3.76,6.227,2.433,4.106,4.107,3.505,2.959,0.289,2.397,3.568,0.799,1.853,3.99,-0.44,-0.3
199208,0.618,0.815,0.936,0.862,1.076,1.084,1.396,1.639,-1.04,1.288,0.29,-1.92,-0.606,-0.728,-0.523,-2.098,0.395,0.547,0,-1.826,-0.288,-3.528,-2.068,-1.805,-0.797,-2.001,-1.271,-0.729,-3.411,-1.541,-1.166,-0.69,-1.985,-0.876,1.782,3.355,-1.98,1.062,-1.722,-2.137,-2.068,-5.138,-1.601,-2.795,-1.018,-2.062,-1.936,-2.264,-2.604,0.261,0.98,0.982,1.346,1.326,-2.08,-0.02,-1.08
199209,1.218,0.785,1.286,1.324,1.4,0.998,1.522,1.168,-3.08,0.957,0.27,1.442,1.294,1.396,1.146,1.92,0.533,0.692,1.888,1.896,2.25,3.741,2.534,-0.294,1.257,0.805,0.541,1.065,1.814,2.973,1.13,1.91,2.081,1.496,-1.681,-2.477,-2.062,-1.471,-4.38,1.31,1.169,2.361,1.771,1.964,2.215,1.134,0.955,0.71,0.706,0.257,1.154,1.981,0.775,0.926,1.24,0.89,-0.44
199210,-1.181,-0.99,-1.245,-1.625,-1.574,-1.465,-2.133,-1.159,1.26,-2.132,0.26,2.407,-0.53,-0.81,-1.4,-0.435,-1.061,-0.479,0.068,-0.243,0.629,6.17,2.266,3.761,0.222,1.023,0,-1.844,1.577,0.912,0.875,3.578,-1.377,-0.067,-5.342,-2.511,-3.484,-3.198,-1.527,2.299,0.329,4.885,5.282,5.227,6.345,0.48,0.661,1.228,0.739,0.229,-1.596,-1.752,-0.841,-1.218,1.09,2.22,-2.05
199211,-0.006,-0.02,-0.513,0.071,0.057,0.156,1.775,1.498,-2.2,0.238,0.25,5.155,2.666,1.306,2.307,2.425,1.627,0.241,2.185,2.433,2.843,8.226,7.754,7.96,2.788,3.29,1.73,2.567,5.033,7.53,2.408,7.072,5.382,4.759,-0.226,0.06,0.428,0.551,1.085,8.848,3.402,7.697,5.839,9.281,7.155,3.379,3.432,4.56,4.775,0.235,0.085,-0.345,0.414,1.382,4.02,3.5,-2.05
199212,1.3,1.081,1.232,1.882,2.135,1.65,1.499,1.176,0.43,1.357,0.26,3.006,1.111,1.644,2.129,1.661,1.727,0.743,1.692,-0.396,2.059,4.045,3.257,4.301,0.021,2.471,1.969,1.929,0.81,3.779,0.975,1.536,1.819,-0.072,1.106,0.889,1.536,0.861,2.099,4.412,1.212,5.465,4.142,3.702,1.331,1.338,1.487,2.817,3.497,0.227,1.709,2.24,1.216,1.189,1.75,1.67,2.67
199301,1.84,1.472,1.787,2.369,1.716,1.814,2.832,2.577,0.19,1.607,0.26,3.026,2.148,0.896,0.867,2.074,0.271,2.197,0.402,-0.827,2.58,2.882,-0.095,1.912,-0.951,2.964,2.68,2.182,1.179,0.155,0,-0.497,0.794,-0.521,0.917,0,1.737,-0.45,-0.305,5.435,0.805,2.79,4.303,1.159,1.62,0.728,0.928,3.68,5.273,0.234,2.405,2.784,1.378,2.438,1.06,2.12,5.56
199302,2.433,0.949,1.224,2.451,1.673,1.162,1.624,1.764,2.13,0.97,0.23,-3.005,0.29,1.953,1.375,2.862,1.912,2.707,0.667,1.956,0.482,-6.059,-3.14,-8.881,0.823,2.41,1.879,1.898,0.403,0.154,0.143,-3.661,-1.881,-3.665,2.725,3.553,2.307,2.373,0.459,-1.804,1.356,-7.59,-0.277,-6.747,-4.018,1.353,1.285,0.949,1.143,0.221,2.164,2.668,0.923,1.891,0.68,-3.06,5.93
