date,rf,rm,ABC,DEF,GHI,JKL,MNO,PQR,STU,VWX,XYZ,ZAB
1/5/1993,0.004365079,-0.14888905,4.959514173,1.89944134,-0.197823941,-2.285714276,-5.479452058,0,0,1.428571429,-0.881057262,1.358912859
1/6/1993,0.004365079,0.141099452,3.664416615,1.4254386,0.991080279,-2.534113089,3.61739131,0.781250011,0,0.201207243,-0.888888882,-2.681387992
1/7/1993,0.004365079,-0.73627611,0,-1.837837837,0.196270858,2.60000003,3.502293834,0.775193809,4.108108107,0,0.448430474,-0.729335517
1/8/1993,0.004365079,-0.38824437,-1.116279083,-1.982378872,-1.371204711,6.432748528,-4.72432433,0,-1.349948081,0.602409639,-1.339285719,-4.816326519
1/11/1993,0.004365079,0.411845764,0,-1.910112359,0,-3.113553096,2.836718486,0.769230737,6.631578932,0.399201597,0.4524887,-3.602058318
1/12/1993,0.004365079,0.011000596,2.351834406,1.947308132,0.595829208,-1.512287371,-0.695134059,0,0,-0.397614314,0.450450462,0.711743795
1/13/1993,0.004365079,0.492207384,0,1.011235964,1.678183599,0,0.699999998,1.526717578,-1.283316815,-1.397205589,1.793721958,3.003533545
1/14/1993,0.004365079,0.73367832,6.801470567,-1.001112356,1.165048549,4.798464511,-1.390268118,1.503759378,2.499999916,0.809716599,1.321585908,0
1/15/1993,0.004365079,0.371689016,4.388984501,-0.449438197,-1.151631483,-4.578754597,0.704934539,0,-1.170731692,2.81124498,1.304347831,-1.457975975
1/18/1993,0.004365079,0.021002276,0,4.401805881,-1.067961159,0,-1.38888889,-0.74074071,0,1.3671875,0.858369092,0
1/19/1993,0.004365079,-0.228738066,-2.143445935,2.378378391,0.392541716,2.303262947,-0.698591553,-0.746268667,0,1.734104046,0.425531926,0
1/20/1993,0.004365079,-0.228737908,5.307497895,0.950369559,-2.346041066,-0.750468998,0,0,6.12043437,-1.704545455,0,0
1/21/1993,0.004365079,0.401805091,3.999999956,-1.35983264,1.701701708,3.213610567,-2.133212298,0,0,1.348747592,-0.423728825,0
1/22/1993,0.004365079,0.271367502,-0.923076934,-0.954400819,-0.688976383,1.465201438,0,0,-1.116279055,1.711026616,-0.425531926,0.783289784
1/25/1993,0.004365079,0.753827018,0,-0.963597439,0,1.444043357,10.87536232,0,4.703668891,0.747663551,0,2.158894657
1/26/1993,0.004365079,0.07102525,0,0.972972981,-1.387512378,3.024911014,1.296664233,-1.503759419,-1.168014404,-0.185528757,-0.854700848,1.437024503
1/27/1993,0.004365079,-0.527603284,-2.950310507,0.963597401,0,2.763385155,-7.091978947,0,1.181818211,-0.743494424,0,-2.083333288
1/28/1993,0.004365079,0.00100003,-2.960000068,0,-0.804020097,-2.016806714,1.38888889,0,-4.49236301,-1.872659176,0,1.446808499
